probe_id,probe_name,gene_id,gene_symbol,gene_name,entrez_id,chromosome,total_detected_samples,total_samples,overall_detection_rate,valid_gene_symbol,reliable_probe
1058685,A_23_P20713,729,C8G,"complement component 8, gamma polypeptide",733.0,9,1818,3702,0.49108589951377635,True,False
1058684,CUST_15185_PI416261804,731,C9,complement component 9,735.0,5,10,3702,0.002701242571582928,True,False
1058683,A_32_P203917,731,C9,complement component 9,735.0,5,11,3702,0.002971366828741221,True,False
1058682,A_23_P138819,736,MRPL49,mitochondrial ribosomal protein L49,740.0,11,3076,3702,0.8309022150189087,True,True
1058681,A_24_P232500,736,MRPL49,mitochondrial ribosomal protein L49,740.0,11,3696,3702,0.9983792544570502,True,True
1058680,A_24_P201491,736,MRPL49,mitochondrial ribosomal protein L49,740.0,11,3697,3702,0.9986493787142086,True,True
1058679,CUST_1334_PI416261804,737,ZNHIT2,"zinc finger, HIT-type containing 2",741.0,11,3700,3702,0.9994597514856834,True,True
1058678,A_23_P329286,737,ZNHIT2,"zinc finger, HIT-type containing 2",741.0,11,3382,3702,0.9135602377093462,True,True
1058677,A_23_P52888,740,MPPED2,metallophosphoesterase domain containing 2,744.0,11,3686,3702,0.9956780118854673,True,True
1058676,CUST_6483_PI416261804,741,C11orf9,chromosome 11 open reading frame 9,745.0,11,1535,3702,0.41464073473797947,True,False
1058675,A_23_P75790,741,C11orf9,chromosome 11 open reading frame 9,745.0,11,3700,3702,0.9994597514856834,True,True
1058674,CUST_5997_PI416261804,742,C11orf10,chromosome 11 open reading frame 10,746.0,11,3700,3702,0.9994597514856834,True,True
1058673,A_23_P47527,742,C11orf10,chromosome 11 open reading frame 10,746.0,11,3700,3702,0.9994597514856834,True,True
1058672,CUST_7076_PI416261804,743,DAGLA,"diacylglycerol lipase, alpha",747.0,11,960,3702,0.2593192868719611,True,False
1058671,A_24_P115967,743,DAGLA,"diacylglycerol lipase, alpha",747.0,11,3059,3702,0.8263101026472177,True,True
1058670,CUST_5613_PI416261804,746,C16orf3,chromosome 16 open reading frame 3,750.0,16,13,3702,0.0035116153430578066,True,False
1058669,A_23_P344515,746,C16orf3,chromosome 16 open reading frame 3,750.0,16,3702,3702,1.0,True,True
1058668,CUST_1069_PI416261804,748,FMNL1,formin-like 1,752.0,17,3071,3702,0.8295515937331173,True,True
1058667,A_24_P390668,748,FMNL1,formin-like 1,752.0,17,2952,3702,0.7974068071312804,True,True
1058666,A_24_P391260,750,PTTG1IP,pituitary tumor-transforming 1 interacting protein,754.0,21,3702,3702,1.0,True,True
1058665,A_23_P109345,750,PTTG1IP,pituitary tumor-transforming 1 interacting protein,754.0,21,3700,3702,0.9994597514856834,True,True
1058664,CUST_6217_PI416261804,751,C21orf2,chromosome 21 open reading frame 2,755.0,21,3151,3702,0.8511615343057807,True,True
1058663,A_23_P211167,751,C21orf2,chromosome 21 open reading frame 2,755.0,21,3117,3702,0.8419773095623987,True,True
1058662,A_23_P57304,753,TMEM50B,transmembrane protein 50B,757.0,21,3590,3702,0.9697460831982712,True,True
1058661,A_24_P305623,753,TMEM50B,transmembrane protein 50B,757.0,21,3699,3702,0.9991896272285251,True,True
1058660,A_23_P156708,755,CA1,carbonic anhydrase I,759.0,8,3700,3702,0.9994597514856834,True,True
1058659,A_24_P23995,755,CA1,carbonic anhydrase I,759.0,8,3698,3702,0.9989195029713668,True,True
1058658,CUST_8275_PI416261804,755,CA1,carbonic anhydrase I,759.0,8,3551,3702,0.9592112371690977,True,True
1058657,CUST_16131_PI416261804,756,CA2,carbonic anhydrase II,760.0,8,3589,3702,0.9694759589411129,True,True
1058656,A_23_P8913,756,CA2,carbonic anhydrase II,760.0,8,3700,3702,0.9994597514856834,True,True
1058655,CUST_8906_PI416261804,757,CA3,"carbonic anhydrase III, muscle specific",761.0,8,33,3702,0.008914100486223663,True,False
1058654,A_23_P20316,757,CA3,"carbonic anhydrase III, muscle specific",761.0,8,232,3702,0.06266882766072393,True,False
1058653,CUST_348_PI417507815,758,CA4,carbonic anhydrase IV,762.0,17,3516,3702,0.9497568881685575,True,True
1058553,A_23_P117363,862,SERPINA6,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6",866.0,14,3603,3702,0.973257698541329,True,True
1058552,A_23_P339191,863,CBL,"Cbl proto-oncogene, E3 ubiquitin protein ligase",867.0,11,3702,3702,1.0,True,True
1058551,A_23_P53226,863,CBL,"Cbl proto-oncogene, E3 ubiquitin protein ligase",867.0,11,2118,3702,0.5721231766612642,True,True
1058550,A_23_P29830,864,CBLB,"Cbl proto-oncogene, E3 ubiquitin protein ligase B",868.0,3,749,3702,0.20232306861156132,True,False
1058549,A_23_P212715,864,CBLB,"Cbl proto-oncogene, E3 ubiquitin protein ligase B",868.0,3,3623,3702,0.9786601836844949,True,True
1058548,CUST_6778_PI416261804,865,CBLN1,cerebellin 1 precursor,869.0,16,968,3702,0.2614802809292274,True,False
1058547,A_24_P313431,865,CBLN1,cerebellin 1 precursor,869.0,16,2606,3702,0.7039438141545111,True,True
1058546,A_23_P76006,867,SERPINH1,"serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)",871.0,11,3621,3702,0.9781199351701783,True,True
1058544,CUST_11292_PI416261804,869,CBR1,carbonyl reductase 1,873.0,21,3666,3702,0.9902755267423015,True,True
1058543,A_23_P29046,869,CBR1,carbonyl reductase 1,873.0,21,3688,3702,0.9962182603997839,True,True
1058542,A_24_P934477,870,CBR3,carbonyl reductase 3,874.0,21,2736,3702,0.7390599675850892,True,True
1058541,A_23_P40453,870,CBR3,carbonyl reductase 3,874.0,21,3214,3702,0.8681793625067531,True,True
1058540,A_24_P48856,871,CBS,cystathionine-beta-synthase,875.0,21,3385,3702,0.9143706104808211,True,True
1058539,A_23_P166306,871,CBS,cystathionine-beta-synthase,875.0,21,3702,3702,1.0,True,True
1058538,CUST_4674_PI416261804,877,CCIN,calicin,881.0,9,7,3702,0.0018908698001080498,True,False
1058537,A_23_P60227,877,CCIN,calicin,881.0,9,3449,3702,0.9316585629389519,True,True
1058536,A_23_P315206,879,CCBL1,"cysteine conjugate-beta lyase, cytoplasmic",883.0,9,3522,3702,0.9513776337115073,True,True
1058535,CUST_12690_PI416261804,879,CCBL1,"cysteine conjugate-beta lyase, cytoplasmic",883.0,9,2626,3702,0.7093462992976769,True,True
1058534,CUST_147_PI416408490,880,CCK,cholecystokinin,885.0,3,3524,3702,0.9519178822258239,True,True
1058533,A_23_P425681,880,CCK,cholecystokinin,885.0,3,3432,3702,0.9270664505672609,True,True
1058532,CUST_15594_PI416261804,882,CCKBR,cholecystokinin B receptor,887.0,11,1465,3702,0.395732036736899,True,False
1058531,CUST_149_PI416408490,882,CCKBR,cholecystokinin B receptor,887.0,11,2124,3702,0.5737439222042139,True,True
1058530,A_23_P162010,882,CCKBR,cholecystokinin B receptor,887.0,11,2911,3702,0.7863317125877903,True,True
1058529,CUST_12111_PI416261804,885,CCNA2,cyclin A2,890.0,4,538,3702,0.14532685035116152,True,False
1058528,A_23_P58321,885,CCNA2,cyclin A2,890.0,4,1666,3702,0.45002701242571586,True,False
1058527,CUST_16017_PI416261804,886,CCNB1,cyclin B1,891.0,5,3641,3702,0.9835224203133441,True,True
1058526,A_23_P122197,886,CCNB1,cyclin B1,891.0,5,3547,3702,0.9581307401404646,True,True
1058525,A_24_P270235,889,CCND2,cyclin D2,894.0,12,3631,3702,0.9808211777417613,True,True
1058524,A_23_P139881,889,CCND2,cyclin D2,894.0,12,3643,3702,0.9840626688276607,True,True
1058523,A_24_P278747,889,CCND2,cyclin D2,894.0,12,3646,3702,0.9848730415991356,True,True
1058522,A_23_P214464,891,CCND3,cyclin D3,896.0,6,3536,3702,0.9551593733117234,True,True
1058521,CUST_14613_PI416261804,893,CCNE1,cyclin E1,898.0,19,2611,3702,0.7052944354403026,True,True
1058520,A_23_P209200,893,CCNE1,cyclin E1,898.0,19,3701,3702,0.9997298757428417,True,True
1058519,A_23_P37954,894,CCNF,cyclin F,899.0,16,2779,3702,0.7506753106428957,True,True
1058518,A_24_P193592,894,CCNF,cyclin F,899.0,16,345,3702,0.09319286871961102,True,False
1058517,A_24_P12065,896,CCNG2,cyclin G2,901.0,4,2240,3702,0.605078336034576,True,True
1058516,A_24_P80532,896,CCNG2,cyclin G2,901.0,4,3474,3702,0.9384116693679092,True,True
1058515,A_23_P110122,896,CCNG2,cyclin G2,901.0,4,3558,3702,0.9611021069692058,True,True
1058514,CUST_13558_PI416261804,897,CCNH,cyclin H,902.0,5,3700,3702,0.9994597514856834,True,True
1058513,A_23_P30338,897,CCNH,cyclin H,902.0,5,3693,3702,0.9975688816855753,True,True
1058512,CUST_1055_PI416573500,899,CCNT1,cyclin T1,904.0,12,3482,3702,0.9405726634251755,True,True
1058511,A_23_P87575,899,CCNT1,cyclin T1,904.0,12,3522,3702,0.9513776337115073,True,True
1058510,CUST_1089_PI416379584,899,CCNT1,cyclin T1,904.0,12,3699,3702,0.9991896272285251,True,True
1058509,A_23_P402670,904,CD1A,CD1a molecule,909.0,1,6,3702,0.0016207455429497568,True,False
