gene_symbol,number_of_available_probes,number_of_reliable_probes,best_detection_rate
A1CF,2,0,0.008373851971907077
A3GALT2P,1,0,0.4027552674230146
A4GNT,2,0,0.007563479200432199
AADAC,2,0,0.00945434900054025
AADACL2,2,0,0.03349540788762831
AADACL4,2,0,0.02215018908698001
ABCA12,2,0,0.011885467314964884
ABCA13,2,0,0.010804970286331712
ABCA4,2,0,0.10480821177741761
ABCB11,2,0,0.005402485143165856
ABCB4,2,0,0.04321988114532685
ABCB5,2,0,0.011885467314964884
ABCC11,3,0,0.08508914100486224
ABCC13,4,0,0.011615343057806591
ABCC2,2,0,0.022420313344138302
ABCC3,4,0,0.15262020529443543
ABCC4,3,0,0.4394921663965424
ABCD1,2,0,0.3133441383036197
ABCG5,2,0,0.3835764451647758
ABHD15,3,0,0.4683954619124797
ABI3BP,3,0,0.27336574824419235
ABO,2,0,0.20394381415451107
ABP1,2,0,0.1542409508373852
ABRA,2,0,0.026472177201512695
AC002472.1,2,0,0.1469475958941113
AC002511.1,2,0,0.21177741761210156
AC003999.1,2,0,0.00945434900054025
AC004080.12,2,0,0.036196650459211235
AC004790.2,2,0,0.005132360886007563
AC004797.1,3,0,0.005132360886007563
AC005014.1,2,0,0.2622906537007023
AC005041.9,2,0,0.3835764451647758
AC005358.1,1,0,0.025391680172879523
AC005840.2,1,0,0.4559697460831983
AC005962.2,2,0,0.021339816315505133
AC006014.8,1,0,0.01728795245813074
AC006276.1,1,0,0.04213938411669368
AC006517.3,2,0,0.01053484602917342
AC007364.1,1,0,0.008914100486223663
AC008026.2,3,0,0.2101566720691518
AC008132.4,1,0,0.017017828200972446
AC008449.1,2,0,0.32901134521880065
AC008537.3,1,0,0.00945434900054025
AC008687.3,2,0,0.4208535926526202
AC009093.1,1,0,0.13992436520799567
AC009107.3,1,0,0.004862236628849271
AC009123.1,1,0,0.007023230686115613
AC009236.1,1,0,0.005132360886007563
AC009509.1,2,0,0.05375472717450027
AC011346.1,2,0,0.00675310642895732
AC011443.1,2,0,0.24284170718530523
AC011472.2,2,0,0.33684494867639114
AC011500.2,2,0,0.04376012965964344
AC012435.1,2,0,0.022420313344138302
AC013271.3,2,0,0.4011345218800648
AC013400.2,1,0,0.01917882225823879
AC013553.1,2,0,0.3187466234467855
AC017096.1,1,0,0.4168017287952458
AC018682.6,2,0,0.031064289573203674
AC018755.8,1,0,0.19340896812533764
AC022075.1,2,0,0.004321988114532685
AC023510.2,2,0,0.014856834143706105
AC023830.2,2,0,0.023230686115613183
AC024940.3,2,0,0.15153970826580226
AC034236.3,2,0,0.046731496488384656
AC055839.1,3,0,0.4135602377093463
AC066593.1,2,0,0.010804970286331712
AC068057.2,1,0,0.05294435440302539
AC068181.1,1,0,0.03079416531604538
AC068658.1,2,0,0.039978390059427334
AC069029.1,2,0,0.27633711507293357
AC069146.2,1,0,0.009994597514856833
AC069525.1,1,0,0.009724473257698542
AC073869.20,1,0,0.059967585089141004
AC078847.1,1,0,0.019989195029713667
AC087309.1,2,0,0.01539708265802269
AC090844.1,1,0,0.004051863857374392
AC091152.2,3,0,0.013236088600756347
AC092070.4,2,0,0.011075094543490005
AC092327.1,2,0,0.018098325229605618
AC092384.2,2,0,0.06212857914640735
AC093063.1,2,0,0.006212857914640735
AC093283.3,3,0,0.4886547811993517
AC093849.1,2,0,0.04754186925985954
AC094086.1,2,0,0.4900054024851432
AC096655.2,2,0,0.041599135602377095
AC098799.1,2,0,0.00864397622906537
AC099759.1,1,0,0.15451107509454348
AC099797.1,2,0,0.46677471636953
AC100756.1,3,0,0.12074554294975688
AC100793.2,3,0,0.004592112371690978
AC100793.3,2,0,0.4097784981091302
AC103540.1,2,0,0.11885467314964884
AC104819.1,2,0,0.01539708265802269
AC105337.1,1,0,0.051053484602917344
AC105391.2,2,0,0.050783360345759046
AC106739.1,1,0,0.32847109670448404
AC107212.1,2,0,0.03727714748784441
AC108938.1,1,0,0.48028092922744464
