gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome,overall_detection_rate,total_detected_samples,total_samples
61E3.4,1011169,A_24_P167877,133523,nuclear pore complex interacting protein-like,440345.0,16,1.0,3702,3702
A1BG,1059509,A_23_P38816,2,alpha-1-B glycoprotein,1.0,19,0.9983792544570502,3696,3702
A26C1B,1021192,A_23_P339053,172078,"POTE ankyrin domain family, member F",728378.0,2,0.9675850891410048,3582,3702
A2BP1,1020220,A_23_P140858,34004,"RNA binding protein, fox-1 homolog (C. elegans) 1",54715.0,16,0.9989195029713668,3698,3702
A2LD1,1016003,A_32_P110872,59673,AIG2-like domain 1,87769.0,13,0.7806591031874662,2890,3702
A2M,1029410,A_23_P116898,3,alpha-2-macroglobulin,2.0,12,0.9994597514856834,3700,3702
A2ML1,1034763,A_23_P372962,80379,alpha-2-macroglobulin-like 1,144568.0,12,0.9994597514856834,3700,3702
A4GALT,1043017,A_23_P57570,33241,"alpha 1,4-galactosyltransferase",53947.0,22,0.7328471096704484,2713,3702
AAAS,1049979,A_23_P64799,8035,"achalasia, adrenocortical insufficiency, alacrimia",8086.0,12,0.9829821717990276,3639,3702
AACS,1039513,A_23_P204395,41828,acetoacetyl-CoA synthetase,65985.0,12,0.9692058346839546,3588,3702
AADACL1,1016302,A_23_P132644,36825,neutral cholesterol ester hydrolase 1,57552.0,3,0.9994597514856834,3700,3702
AADACL3,1012096,CUST_708_PI416379584,79169,arylacetamide deacetylase-like 3,126767.0,1,0.9835224203133441,3641,3702
AADAT,1043692,CUST_14815_PI416261804,30648,aminoadipate aminotransferase,51166.0,4,0.9357104267963263,3464,3702
AAED1,1026045,CUST_12467_PI416261804,83386,AhpC/TSA antioxidant enzyme domain containing 1,195827.0,9,0.9235548352242031,3419,3702
AAGAB,1039036,A_23_P37545,55522,alpha- and gamma-adaptin binding protein,79719.0,15,0.9991896272285251,3699,3702
AAK1,1046259,A_23_P209826,22604,AP2 associated kinase 1,22848.0,2,0.9994597514856834,3700,3702
AAMP,1059499,A_23_P56529,11,"angio-associated, migratory cell protein",14.0,2,0.9773095623987034,3618,3702
AANAT,1059497,A_23_P152527,12,aralkylamine N-acetyltransferase,15.0,17,0.9311183144246353,3447,3702
AARD,1023981,CUST_10078_PI416261804,134476,alanine and arginine rich domain containing protein,441376.0,8,0.9076175040518638,3360,3702
AARS,1059496,CUST_7674_PI416261804,13,alanyl-tRNA synthetase,16.0,16,0.9959481361426256,3687,3702
AARS2,1040628,A_23_P383688,36778,"alanyl-tRNA synthetase 2, mitochondrial (putative)",57505.0,6,0.9929767693138843,3676,3702
