structure_id,structure_acronym,structure_name,total_sample_count,number_of_donors
4288,Pu,"putamen, left",48,6
4023,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",43,6
4143,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",41,6
4024,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",40,6
4142,MTG-s,"middle temporal gyrus, left, superior bank of gyrus",36,6
4224,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",35,6
9492,Pn,"pontine nuclei, left",35,6
9677,Sp5,"spinal trigeminal nucleus, left",35,6
4322,Cl,"claustrum, left",33,6
4149,ITG-its,"inferior temporal gyrus, left, bank of the its",33,6
4030,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",33,6
4223,CgGf-s,"cingulate gyrus, frontal part, left, superior bank of gyrus",31,6
4151,ITG-mts,"inferior temporal gyrus, left, bank of mts",30,6
4031,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",30,6
4193,LiG-pest,"lingual gyrus, left, peristriate",29,6
4136,STG-i,"superior temporal gyrus, left, inferior bank of gyrus",28,6
4135,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",27,6
4244,PHG-l,"parahippocampal gyrus, left, lateral bank of gyrus",26,6
4282,BCd,"body of caudate nucleus, left",25,6
4194,LiG-str,"lingual gyrus, left, striate",25,6
4251,S,"subiculum, left",25,6
4254,CA1,"CA1 field, left",24,6
4150,ITG-l,"inferior temporal gyrus, left, lateral bank of gyrus",24,6
4099,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",23,6
4280,HCd,"head of caudate nucleus, left",22,6
4121,Pcu-i,"precuneus, left, inferior lateral bank of gyrus",22,6
4256,CA3,"CA3 field, left",21,6
4258,DG,"dentate gyrus, left",21,6
9561,IO,"inferior olivary complex, left",21,6
4051,MOrG,"medial orbital gyrus, left",21,6
4088,PoG-sl,"postcentral gyrus, left, superior lateral aspect of gyrus",21,6
9074,SNC,"substantia nigra, pars compacta, left",21,6
4257,CA4,"CA4 field, left",20,6
4158,FuG-its,"fusiform gyrus, left, bank of the its",20,6
4048,GRe,"gyrus rectus, left",20,6
4417,DTLv,"lateral group of nuclei, left, ventral division",20,6
4245,PHG-cos,"parahippocampal gyrus, left, bank of the cos",20,6
4120,Pcu-s,"precuneus, left, superior lateral bank of gyrus",20,6
4255,CA2,"CA2 field, left",19,6
4739,He-Crus I,"Crus I, left, lateral hemisphere",19,6
4395,DTA,"anterior group of nuclei, left",19,6
4186,Cun-pest,"cuneus, left, peristriate",19,6
4160,FuG-cos,"fusiform gyrus, left, bank of cos",19,6
9598,GiRt,"gigantocellular group, left",19,6
4033,MFG-s,"middle frontal gyrus, right, superior bank of gyrus",19,2
4013,PrG-sl,"precentral gyrus, left, superior lateral aspect of gyrus",19,6
