gene_symbol,number_of_probes,probe_ids
APOE,3,1059132;1059133;1067762
ARHGEF2,2,1019068;1048871
ASH1L,2,1041471;1041472
ASNS,2,1026103;1026104
ASXL3,3,1015239;1015423;1016305
BAG3,2,1048474;1048475
BBS9,2,1022575;1022576
BCKDK,2,1011486;1019002
BCL9,2,1058854;1058855
BIN3,3,1041427;1041428;1041429
BRD3,2,1050009;1050010
BRIP1,1,1037918
BST1,2,1058746;1058747
C5ORF24,2,1015240;1020488
CAB39L,2,1011604;1020073
CAMK2D,4,1013642;1017819;1027100;1027101
CAPN13,2,1036609;1036610
CARS2,2,1039201;1039202
CC2D2A,2,1011388;1018275
CCDC62,2,1029581;1029582
CCDC85A,2,1014186;1017604
CCT3,2,1029523;1029524
CD19,2,1058473;1058474
CHRNB1,2,1058196;1058197
CLCN3,3,1025182;1025183;1025184
CNOT6L,3,1033005;1033006;1033007
CNTN1,2,1058103;1058104
COL3A1,4,1058092;1058093;1058094;1058095
COMMD1,2,1034390;1034391
CRLS1,1,1020322
CTSB,3,1030215;1030216;1030217
DCST1,3,1014309;1018959;1034485
DCUN1D1,2,1042987;1060966
DDRGK1,2,1039498;1039499
DGKQ,2,1057741;1057742
DIRC1,2,1036088;1036089
DLG2,4,1011473;1014060;1015299;1020078
DNAH17,2,1029339;1029340
DNASE1L1,2,1057592;1057593
DNM1L,3,1026402;1026403;1026404
DPP6,4,1021964;1021965;1021966;1025983
DYRK1A,3,1026233;1026234;1026235
ELOVL7,2,1014431;1017481
FAM171A2,2,1013916;1017989
FAM47E,2,1011673;1015924
FASN,2,1057064;1057065
FBRSL1,2,1014256;1015696
FCGR2A,1,1019379
FCGR2B,2,1026970;1026971
FCGR3B,1,1057035
FGD4,3,1035818;1035819;1064628
FYN,3,1029625;1029626;1029627
GAK,2,1056538;1056539
GALNT14,2,1039165;1039166
GALNT9,4,1013164;1013937;1018522;1063388
GBF1,2,1049375;1049376
GCH1,5,1029868;1029869;1029901;1030010;1056474
GJA5,3,1024400;1024401;1056413
GPM6B,4,1023580;1056269;1056270;1056271
GPNMB,2,1024151;1024152
GPR65,2,1049669;1049670
GPRIN3,2,1021672;1021673
GUSBP2,1,1010976
HEATR6,2,1040127;1040128
HIP1R,2,1049068;1049069
HLA-DQA1,5,1018703;1021190;1055658;1055659;1055660
HLA-DQB1,2,1055654;1055655
HLA-DRA,2,1055652;1055653
HLA-DRB1,2,1055650;1055651
INPP5F,2,1046229;1046230
IP6K2,4,1030752;1030753;1030791;1030792
IQCJ,4,1021047;1021142;1021143;1021144
IQCJ-SCHIP1,2,1044119;1044120
IRS2,3,1049467;1049468;1049469
ITGA2B,2,1054940;1054941
ITGA8,2,1049617;1049618
ITGAE,2,1054931;1054932
ITIH1,2,1054912;1054913
ITPKB,2,1054898;1054899
KCNIP3,3,1022417;1022418;1022419
KCNN3,3,1027249;1027250;1027251
KCNS3,3,1054772;1054773;1054774
KLHDC1,2,1035775;1035776
KLHL7,3,1025738;1025739;1063321
KNTC1,2,1048212;1048213
KPNA1,2,1015121;1020579
