gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome
APOE,1059132,A_23_P164650,345,apolipoprotein E,348.0,19
APOE,1059133,A_32_P93036,345,apolipoprotein E,348.0,19
APOE,1067762,A_24_P788772,345,apolipoprotein E,348.0,19
ARHGEF2,1019068,A_23_P51699,9057,Rho/Rac guanine nucleotide exchange factor (GEF) 2,9181.0,1
ARHGEF2,1048871,CUST_8958_PI416261804,9057,Rho/Rac guanine nucleotide exchange factor (GEF) 2,9181.0,1
ASH1L,1041471,A_23_P63083,35158,"ash1 (absent, small, or homeotic)-like (Drosophila)",55870.0,1
ASH1L,1041472,A_24_P367666,35158,"ash1 (absent, small, or homeotic)-like (Drosophila)",55870.0,1
ASNS,1026103,A_23_P145694,437,asparagine synthetase (glutamine-hydrolyzing),440.0,7
ASNS,1026104,CUST_11527_PI416261804,437,asparagine synthetase (glutamine-hydrolyzing),440.0,7
ASXL3,1015239,A_32_P389544,56587,additional sex combs like 3 (Drosophila),80816.0,18
ASXL3,1015423,A_32_P386298,56587,additional sex combs like 3 (Drosophila),80816.0,18
ASXL3,1016305,A_23_P381746,56587,additional sex combs like 3 (Drosophila),80816.0,18
BAG3,1048474,A_23_P52552,9390,BCL2-associated athanogene 3,9531.0,10
BAG3,1048475,A_23_P47077,9390,BCL2-associated athanogene 3,9531.0,10
BBS9,1022575,A_23_P82351,26986,Bardet-Biedl syndrome 9,27241.0,7
BBS9,1022576,CUST_9548_PI416261804,26986,Bardet-Biedl syndrome 9,27241.0,7
BCKDK,1011486,A_23_P3823,10149,branched chain ketoacid dehydrogenase kinase,10295.0,16
BCKDK,1019002,A_23_P365149,10149,branched chain ketoacid dehydrogenase kinase,10295.0,16
BCL9,1058854,A_23_P382602,604,B-cell CLL/lymphoma 9,607.0,1
BCL9,1058855,CUST_9885_PI416261804,604,B-cell CLL/lymphoma 9,607.0,1
BIN3,1041427,A_23_P43086,35196,bridging integrator 3,55909.0,8
BIN3,1041428,A_24_P115443,35196,bridging integrator 3,55909.0,8
BIN3,1041429,A_24_P115450,35196,bridging integrator 3,55909.0,8
BRD3,1050009,A_23_P216689,7971,bromodomain containing 3,8019.0,9
BRD3,1050010,A_24_P32887,7971,bromodomain containing 3,8019.0,9
BRIP1,1037918,A_23_P15844,58206,BRCA1 interacting protein C-terminal helicase 1,83990.0,17
BST1,1058746,A_23_P7325,679,bone marrow stromal cell antigen 1,683.0,4
BST1,1058747,CUST_14605_PI416261804,679,bone marrow stromal cell antigen 1,683.0,4
C5ORF24,1015240,A_24_P337504,79612,chromosome 5 open reading frame 24,134553.0,5
C5ORF24,1020488,A_23_P433829,79612,chromosome 5 open reading frame 24,134553.0,5
CAB39L,1011604,A_24_P56363,57299,calcium binding protein 39-like,81617.0,13
CAB39L,1020073,A_23_P204879,57299,calcium binding protein 39-like,81617.0,13
CAMK2D,1013642,A_32_P47988,813,calcium/calmodulin-dependent protein kinase II delta,817.0,4
CAMK2D,1017819,A_23_P144458,813,calcium/calmodulin-dependent protein kinase II delta,817.0,4
CAMK2D,1027100,A_32_P168660,813,calcium/calmodulin-dependent protein kinase II delta,817.0,4
CAMK2D,1027101,A_24_P114739,813,calcium/calmodulin-dependent protein kinase II delta,817.0,4
CAPN13,1036609,A_23_P101972,60161,calpain 13,92291.0,2
CAPN13,1036610,A_24_P336983,60161,calpain 13,92291.0,2
CARS2,1039201,A_23_P128624,55390,"cysteinyl-tRNA synthetase 2, mitochondrial (putative)",79587.0,13
CARS2,1039202,A_23_P117238,55390,"cysteinyl-tRNA synthetase 2, mitochondrial (putative)",79587.0,13
CC2D2A,1011388,A_23_P413285,36818,coiled-coil and C2 domain containing 2A,57545.0,4
CC2D2A,1018275,A_23_P348383,36818,coiled-coil and C2 domain containing 2A,57545.0,4
CCDC62,1029581,A_24_P338585,58858,coiled-coil domain containing 62,84660.0,12
CCDC62,1029582,A_23_P2258,58858,coiled-coil domain containing 62,84660.0,12
CCDC85A,1014186,CUST_186_PI416261804,77524,coiled-coil domain containing 85A,114800.0,2
CCDC85A,1017604,A_23_P349566,77524,coiled-coil domain containing 85A,114800.0,2
CCT3,1029523,A_23_P160631,7160,"chaperonin containing TCP1, subunit 3 (gamma)",7203.0,1
CCT3,1029524,CUST_10350_PI416261804,7160,"chaperonin containing TCP1, subunit 3 (gamma)",7203.0,1
CD19,1058473,A_23_P113572,925,CD19 molecule,930.0,16
CD19,1058474,CUST_9454_PI416261804,925,CD19 molecule,930.0,16
CHRNB1,1058196,A_23_P207106,1132,"cholinergic receptor, nicotinic, beta 1 (muscle)",1140.0,17
CHRNB1,1058197,A_24_P27627,1132,"cholinergic receptor, nicotinic, beta 1 (muscle)",1140.0,17
CLCN3,1025182,A_23_P124476,1173,"chloride channel, voltage-sensitive 3",1182.0,4
CLCN3,1025183,CUST_179_PI416408490,1173,"chloride channel, voltage-sensitive 3",1182.0,4
CLCN3,1025184,A_24_P402847,1173,"chloride channel, voltage-sensitive 3",1182.0,4
CNOT6L,1033005,A_24_P291680,89687,"CCR4-NOT transcription complex, subunit 6-like",246175.0,4
CNOT6L,1033006,A_24_P690285,89687,"CCR4-NOT transcription complex, subunit 6-like",246175.0,4
CNOT6L,1033007,A_23_P110304,89687,"CCR4-NOT transcription complex, subunit 6-like",246175.0,4
CNTN1,1058103,A_23_P390700,1263,contactin 1,1272.0,12
CNTN1,1058104,CUST_11199_PI416261804,1263,contactin 1,1272.0,12
COL3A1,1058092,A_24_P935491,1272,"collagen, type III, alpha 1",1281.0,2
COL3A1,1058093,A_23_P142533,1272,"collagen, type III, alpha 1",1281.0,2
COL3A1,1058094,A_32_P226656,1272,"collagen, type III, alpha 1",1281.0,2
COL3A1,1058095,A_24_P402242,1272,"collagen, type III, alpha 1",1281.0,2
COMMD1,1034390,A_23_P389525,80915,copper metabolism (Murr1) domain containing 1,150684.0,2
COMMD1,1034391,A_32_P131562,80915,copper metabolism (Murr1) domain containing 1,150684.0,2
