gene_symbol,number_of_available_probes,best_detection_rate
BRIP1,1,0.04240950837385197
BST1,2,0.21745002701242572
CCDC62,2,0.26202052944354404
COL3A1,4,0.2576985413290113
DCST1,3,0.12128579146407348
DNAH17,2,0.4883846569421934
FCGR2B,2,0.13749324689357104
FCGR3B,1,0.47866018368449487
GCH1,5,0.35467314964883845
GJA5,3,0.0829281469475959
GPR65,2,0.03241491085899514
GPRIN3,2,0.48568341437061047
LAMP3,2,0.006212857914640735
LINC00326,2,0.01242571582928147
MMRN1,2,0.02025931928687196
MSR1,4,0.17963263101026472
MUC19,1,0.012965964343598054
NOD2,2,0.12344678552133982
PRDM15,4,0.2698541329011345
RAB25,2,0.01350621285791464
SLC44A4,2,0.007293354943273906
SPATA19,2,0.06537007023230686
TRIM40,2,0.05726634251755808
USP50,2,0.01755807671528903
VN1R10P,2,0.01917882225823879
