donor_id,gene_symbol,probe_id,detected_sample_count,total_sample_count,detection_rate
normalized_microarray_donor10021,APOE,1059132,891,893,0.9977603583426652
normalized_microarray_donor10021,APOE,1059133,888,893,0.9944008958566629
normalized_microarray_donor10021,APOE,1067762,891,893,0.9977603583426652
normalized_microarray_donor10021,ARHGEF2,1019068,878,893,0.9832026875699889
normalized_microarray_donor10021,ARHGEF2,1048871,822,893,0.9204927211646137
normalized_microarray_donor10021,ASH1L,1041471,717,893,0.8029115341545353
normalized_microarray_donor10021,ASH1L,1041472,891,893,0.9977603583426652
normalized_microarray_donor10021,ASNS,1026103,891,893,0.9977603583426652
normalized_microarray_donor10021,ASNS,1026104,892,893,0.9988801791713325
normalized_microarray_donor10021,ASXL3,1015239,504,893,0.5643896976483762
normalized_microarray_donor10021,ASXL3,1015423,683,893,0.7648376259798432
normalized_microarray_donor10021,ASXL3,1016305,795,893,0.8902575587905935
normalized_microarray_donor10021,BAG3,1048474,890,893,0.9966405375139977
normalized_microarray_donor10021,BAG3,1048475,821,893,0.9193729003359462
normalized_microarray_donor10021,BBS9,1022575,893,893,1.0
normalized_microarray_donor10021,BBS9,1022576,738,893,0.826427771556551
normalized_microarray_donor10021,BCKDK,1011486,891,893,0.9977603583426652
normalized_microarray_donor10021,BCKDK,1019002,863,893,0.9664053751399776
normalized_microarray_donor10021,BCL9,1058854,893,893,1.0
normalized_microarray_donor10021,BCL9,1058855,677,893,0.7581187010078387
normalized_microarray_donor10021,BIN3,1041427,893,893,1.0
normalized_microarray_donor10021,BIN3,1041428,692,893,0.77491601343785
normalized_microarray_donor10021,BIN3,1041429,774,893,0.8667413213885778
normalized_microarray_donor10021,BRD3,1050009,893,893,1.0
normalized_microarray_donor10021,BRD3,1050010,891,893,0.9977603583426652
normalized_microarray_donor10021,BRIP1,1037918,21,893,0.023516237402015677
normalized_microarray_donor10021,BST1,1058746,176,893,0.19708846584546472
normalized_microarray_donor10021,BST1,1058747,309,893,0.3460246360582307
normalized_microarray_donor10021,C5ORF24,1015240,893,893,1.0
normalized_microarray_donor10021,C5ORF24,1020488,879,893,0.9843225083986562
normalized_microarray_donor10021,CAB39L,1011604,891,893,0.9977603583426652
normalized_microarray_donor10021,CAB39L,1020073,891,893,0.9977603583426652
normalized_microarray_donor10021,CAMK2D,1013642,892,893,0.9988801791713325
normalized_microarray_donor10021,CAMK2D,1017819,893,893,1.0
normalized_microarray_donor10021,CAMK2D,1027100,95,893,0.10638297872340426
