gene_symbol,probe_id,probe_name,total_detected_samples,total_samples,overall_detection_rate,number_of_donors_present,donors_with_detection_rate_at_least_0_5,reliable_probe
APOE,1059132,A_23_P164650,3700,3702,0.9994597514856834,6,6,True
APOE,1059133,A_32_P93036,3638,3702,0.9827120475418692,6,6,True
APOE,1067762,A_24_P788772,3700,3702,0.9994597514856834,6,6,True
ARHGEF2,1019068,A_23_P51699,3459,3702,0.9343598055105349,6,6,True
ARHGEF2,1048871,CUST_8958_PI416261804,3254,3702,0.8789843327930849,6,6,True
ASH1L,1041471,A_23_P63083,3084,3702,0.833063209076175,6,6,True
ASH1L,1041472,A_24_P367666,3699,3702,0.9991896272285251,6,6,True
ASNS,1026103,A_23_P145694,3700,3702,0.9994597514856834,6,6,True
ASNS,1026104,CUST_11527_PI416261804,3700,3702,0.9994597514856834,6,6,True
ASXL3,1015239,A_32_P389544,2372,3702,0.6407347379794706,6,6,True
ASXL3,1015423,A_32_P386298,2839,3702,0.7668827660723933,6,6,True
ASXL3,1016305,A_23_P381746,3260,3702,0.8806050783360346,6,6,True
BAG3,1048474,A_23_P52552,3608,3702,0.9746083198271205,6,6,True
BAG3,1048475,A_23_P47077,3458,3702,0.9340896812533765,6,6,True
BBS9,1022575,A_23_P82351,3701,3702,0.9997298757428417,6,6,True
BBS9,1022576,CUST_9548_PI416261804,2920,3702,0.788762830902215,6,6,True
BCKDK,1011486,A_23_P3823,3699,3702,0.9991896272285251,6,6,True
BCKDK,1019002,A_23_P365149,3339,3702,0.9019448946515397,6,6,True
BCL9,1058854,A_23_P382602,3695,3702,0.998109130199892,6,6,True
BCL9,1058855,CUST_9885_PI416261804,2727,3702,0.7366288492706645,6,5,True
BIN3,1041427,A_23_P43086,3650,3702,0.9859535386277688,6,6,True
BIN3,1041428,A_24_P115443,2916,3702,0.7876823338735819,6,6,True
BIN3,1041429,A_24_P115450,3152,3702,0.8514316585629389,6,6,True
BRD3,1050009,A_23_P216689,3678,3702,0.993517017828201,6,6,True
BRD3,1050010,A_24_P32887,3700,3702,0.9994597514856834,6,6,True
BRIP1,1037918,A_23_P15844,157,3702,0.04240950837385197,6,0,False
BST1,1058746,A_23_P7325,713,3702,0.19259859535386278,6,0,False
BST1,1058747,CUST_14605_PI416261804,805,3702,0.21745002701242572,6,0,False
C5ORF24,1015240,A_24_P337504,3702,3702,1.0,6,6,True
C5ORF24,1020488,A_23_P433829,3597,3702,0.9716369529983793,6,6,True
CAB39L,1011604,A_24_P56363,3690,3702,0.9967585089141004,6,6,True
CAB39L,1020073,A_23_P204879,3696,3702,0.9983792544570502,6,6,True
CAMK2D,1013642,A_32_P47988,3667,3702,0.9905456509994598,6,6,True
CAMK2D,1017819,A_23_P144458,3700,3702,0.9994597514856834,6,6,True
CAMK2D,1027100,A_32_P168660,733,3702,0.19800108049702864,6,0,False
CAMK2D,1027101,A_24_P114739,3702,3702,1.0,6,6,True
CAPN13,1036609,A_23_P101972,3375,3702,0.9116693679092382,6,6,True
CAPN13,1036610,A_24_P336983,1899,3702,0.5129659643435981,6,4,True
CARS2,1039201,A_23_P128624,3700,3702,0.9994597514856834,6,6,True
CARS2,1039202,A_23_P117238,3174,3702,0.8573743922204214,6,6,True
CC2D2A,1011388,A_23_P413285,2704,3702,0.7304159913560238,6,6,True
CC2D2A,1018275,A_23_P348383,3322,3702,0.8973527822798487,6,6,True
CCDC62,1029581,A_24_P338585,970,3702,0.26202052944354404,6,0,False
CCDC62,1029582,A_23_P2258,112,3702,0.030253916801728797,6,0,False
CCDC85A,1014186,CUST_186_PI416261804,3571,3702,0.9646137223122636,6,6,True
CCDC85A,1017604,A_23_P349566,3648,3702,0.9854132901134521,6,6,True
CCT3,1029523,A_23_P160631,3700,3702,0.9994597514856834,6,6,True
CCT3,1029524,CUST_10350_PI416261804,3682,3702,0.9945975148568341,6,6,True
CD19,1058473,A_23_P113572,1976,3702,0.5337655321447866,6,4,True
CD19,1058474,CUST_9454_PI416261804,1837,3702,0.4962182603997839,6,3,False
