structure_id,structure_acronym,structure_name,number_of_donors,coordinate_donor_count,mni_x,mni_y,mni_z,parkinsons_expression_score,enrichment_z_score,empirical_p_value,fdr_q_value,significant_fdr_0_05
4507,ZI,"zona incerta, left",6,6,-13.225,-14.275,-0.1166666666666667,0.77400917,-1.9332914,0.971002899710029,0.9922007799220078,False
4437,ILc,"caudal group of intralaminar nuclei, left",6,6,-11.766666666666666,-21.516666666666666,4.55,0.7228974,0.92445254,0.1781821817818218,0.6152328163410075,False
4518,Sb,"subthalamic nucleus, left",6,6,-14.6,-15.77222222222222,-2.7138888888888886,0.6913254,-0.570629,0.7216278372162783,0.9922007799220078,False
9178,SOC,"superior olivary complex, left",5,5,-3.9633333333333334,-35.343333333333334,-41.21,0.55795777,-0.68749803,0.7550244975502449,0.9922007799220078,False
9543,Cu,"cuneate nucleus, left",6,6,-3.608333333333333,-43.78888888888889,-56.82916666666667,0.5079094,-0.9366242,0.8282171782821718,0.9922007799220078,False
4506,R,"reticular nucleus of thalamus, left",6,6,-21.83888888888889,-19.916666666666668,10.988888888888889,0.49288937,-1.8807558,0.9691030896910308,0.9922007799220078,False
9698,8Ve,"vestibular nuclei, left",6,6,-3.863888888888889,-43.00972222222222,-47.270833333333336,0.48700082,-0.8096015,0.7937206279372063,0.9922007799220078,False
9589,CMRt,"central medullary reticular group, left",4,4,-3.908333333333333,-41.625,-58.44166666666666,0.48538342,-2.2652955,0.9888011198880112,0.9922007799220078,False
9525,CGS,central glial substance,4,4,-0.55,-43.45625,-61.55625,0.46273527,-0.79318094,0.781921807819218,0.9922007799220078,False
4417,DTLv,"lateral group of nuclei, left, ventral division",6,6,-17.755,-20.15111111111111,7.930555555555556,0.44032392,0.5190483,0.3030696930306969,0.7025107615820697,False
9075,SNR,"substantia nigra, pars reticulata, left",6,6,-10.033333333333333,-19.572222222222223,-15.238888888888889,0.4211469,-0.94655186,0.8297170282971703,0.9922007799220078,False
4322,Cl,"claustrum, left",6,6,-33.94712301587302,-6.061805555555556,-1.6015873015873014,0.41397446,1.4769756,0.0687931206879312,0.3649468386494684,False
4295,GPe,"globus pallidus, external segment, left",5,5,-22.058666666666667,-6.138666666666667,1.2386666666666666,0.4049554,-2.440451,0.9922007799220078,0.9922007799220078,False
9598,GiRt,"gigantocellular group, left",6,6,-1.7652777777777777,-39.69722222222222,-50.769444444444446,0.3949629,-0.8709717,0.8048195180481952,0.9922007799220078,False
9054,RN,"red nucleus, left",6,6,-6.5055555555555555,-20.044444444444444,-8.866666666666667,0.3887707,-0.71513295,0.7624237576242375,0.9922007799220078,False
4296,GPi,"globus pallidus, internal segment, left",6,6,-18.141666666666666,-5.7250000000000005,-0.2416666666666667,0.33259723,-2.345526,0.9908009199080092,0.9922007799220078,False
4257,CA4,"CA4 field, left",6,6,-27.425833333333333,-29.579444444444444,-5.845277777777778,0.2886205,2.582036,0.005999400059994,0.2378762123787621,False
4440,LGd,"dorsal lateral geniculate nucleus, left",6,6,-29.65833333333333,-27.794444444444448,-4.316666666666666,0.26594427,2.2959507,0.0114988501149885,0.2378762123787621,False
9207,Pr5,"principal sensory nucleus of trigeminal nerve, left",4,4,-4.75,-39.2,-38.575,0.26349247,0.42852917,0.3304669533046695,0.7114759112324062,False
9561,IO,"inferior olivary complex, left",6,6,-2.7597222222222224,-36.40277777777778,-53.81805555555555,0.26178274,1.050228,0.1465853414658534,0.5733426657334266,False
9137,6,"abducens nucleus, left",5,5,-3.02,-42.0,-43.06,0.25349003,-0.34308982,0.6375362463753624,0.9894968130305613,False
4313,BST,"bed  nucleus of stria terminalis, left",4,4,-6.625,5.0,2.625,0.24107356,0.74904215,0.2257774222577742,0.6740809789988743,False
9206,Mo5,"motor nucleus of trigeminal nerve, left",5,5,-4.720000000000001,-39.22,-38.839999999999996,0.24071059,0.050926823,0.4812518748125187,0.8719712187197123,False
9677,Sp5,"spinal trigeminal nucleus, left",6,6,-4.1873611111111115,-41.59361111111111,-53.18222222222223,0.2388567,0.091951974,0.4582541745825417,0.8386051394860513,False
9614,LMRt,"lateral medullary reticular group, left",6,6,-4.283333333333334,-39.047222222222224,-56.90833333333333,0.23191805,-0.066050775,0.5222477752224778,0.901616442129372,False
9074,SNC,"substantia nigra, pars compacta, left",6,6,-9.056944444444445,-20.927777777777777,-15.051388888888889,0.22623326,1.7150762,0.0422957704229577,0.297697153361587,False
9529,8Co,"cochlear nuclei, left",5,5,-5.930000000000001,-41.22,-49.989999999999995,0.18995838,0.5111552,0.3020697930206979,0.7025107615820697,False
4782,Dt,"dentate nucleus, left",6,6,-9.966666666666667,-58.175000000000004,-28.777777777777775,0.18522592,0.2990446,0.3773622637736226,0.7416598765655349,False
4409,DTLd,"lateral group of nuclei, left, dorsal division",6,6,-19.02777777777778,-27.833333333333332,7.73888888888889,0.18183236,1.7633417,0.0400959904009599,0.2935026497350264,False
4444,MG,"medial geniculate complex, left",5,5,-21.419999999999998,-27.32,-3.9799999999999995,0.17259684,1.8447528,0.033996600339966,0.2935026497350264,False
9143,7,"facial motor nucleus, left",5,5,-3.4200000000000004,-39.11666666666667,-45.306666666666665,0.17065579,-0.43170503,0.6699330066993301,0.9922007799220078,False
13008,LHT,"lateral hypothalamic area, tuberal region, left",4,4,-11.25,-2.75,-6.0,0.16969793,0.742624,0.2283771622837716,0.6740809789988743,False
9558,12,"hypoglossal nucleus, left",4,4,-0.7916666666666667,-43.71666666666667,-55.38333333333333,0.16785596,0.021523682,0.487951204879512,0.8754418675779482,False
4379,LA,"lateral nucleus, left",6,6,-26.420833333333334,-6.45,-20.845833333333335,0.1488319,2.3210144,0.0113988601139886,0.2378762123787621,False
4244,PHG-l,"parahippocampal gyrus, left, lateral bank of gyrus",6,6,-18.591269841269842,-18.151190476190475,-24.648015873015876,0.14622465,1.5279665,0.064993500649935,0.3649468386494684,False
9067,VTA,"ventral tegmental area, left",6,6,-3.397222222222222,-25.233333333333334,-17.688888888888886,0.13311832,-0.015156128,0.5082491750824918,0.8858057051437714,False
9155,SubC,"nucleus subceruleus, left",5,5,-4.029999999999999,-39.75,-40.15,0.12919992,-0.41868535,0.6652334766523348,0.9922007799220078,False
4106,SMG-s,"supramarginal gyrus, left, superior bank of gyrus",6,6,-53.225,-36.208333333333336,44.64722222222222,0.12491011,0.98102194,0.164983501649835,0.5806150154215348,False
9161,PRF,"pontine reticular formation, left",6,6,-2.1,-34.63888888888889,-34.10833333333333,0.110703975,-0.55155987,0.708029197080292,0.9922007799220078,False
4308,nbM,"basal nucleus of meynert, left",4,4,-23.4375,-1.75,-8.4375,0.10374065,0.457078,0.3238676132386761,0.7055687288414015,False
4898,SRoG,"superior rostral gyrus, left",4,4,-5.675,49.733333333333334,-7.375,0.10105941,1.9771762,0.0243975602439756,0.2935026497350264,False
4160,FuG-cos,"fusiform gyrus, left, bank of cos",6,6,-31.75277777777778,-20.540277777777778,-26.02916666666667,0.100490496,2.195188,0.0131986801319868,0.2378762123787621,False
4400,DTM,"medial group of nuclei, left",6,6,-5.519166666666667,-15.771666666666667,8.448611111111111,0.09845882,1.887631,0.0313968603139686,0.2935026497350264,False
9020,CnF,"cuneiform nucleus, left",4,4,-2.125,-38.35,-17.6,0.09843013,0.76457024,0.2245775422457754,0.6740809789988743,False
9004,CGMB,"central gray substance of midbrain, left",5,5,-4.341666666666667,-32.515,-10.021666666666667,0.084259436,0.8582746,0.1998800119988001,0.6640064807078614,False
9152,MPB,"medial parabrachial nucleus, left",5,5,-4.546666666666667,-39.239999999999995,-32.88,0.07841472,-0.09669123,0.5387461253874612,0.902432484024325,False
4273,SIG,"short insular gyri, left",6,6,-36.23888888888889,10.997222222222222,3.6444444444444444,0.07501522,2.450758,0.0072992700729927,0.2378762123787621,False
4342,BLA,"basolateral nucleus, left",6,6,-24.016666666666666,-6.966666666666666,-16.933333333333334,0.067029774,1.4645216,0.0711928807119288,0.3649468386494684,False
4088,PoG-sl,"postcentral gyrus, left, superior lateral aspect of gyrus",6,6,-44.82083333333333,-21.20277777777778,60.45416666666667,0.060873616,-0.9742779,0.8313168683131686,0.9922007799220078,False
4395,DTA,"anterior group of nuclei, left",6,6,-7.058333333333334,-13.445833333333333,16.206944444444446,0.06058074,1.7867594,0.037996200379962,0.2935026497350264,False
4113,AnG-s,"angular gyrus, left, superior bank of gyrus",6,6,-33.047222222222224,-67.30833333333334,47.580555555555556,0.057627067,-0.23094732,0.5912408759124088,0.9500602571321816,False
4114,AnG-i,"angular gyrus, left, inferior bank of gyrus",6,6,-42.22777777777778,-70.01388888888889,33.78611111111111,0.056639288,1.2634941,0.1023897610238976,0.4684331566843316,False
4089,PoG-il,"postcentral gyrus, left, inferior lateral aspect of gyrus",5,5,-52.90666666666667,-22.403333333333332,41.66666666666667,0.054325677,-1.3312474,0.9109089091090892,0.9922007799220078,False
4224,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",6,6,-3.3484126984126985,21.412698412698415,17.026190476190475,0.048435878,0.467976,0.318968103189681,0.7055687288414015,False
4023,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",6,6,-4.338492063492064,28.532566137566135,47.108862433862434,0.04595051,1.6243428,0.0544945505449455,0.343879405162932,False
4223,CgGf-s,"cingulate gyrus, frontal part, left, superior bank of gyrus",6,6,-6.2434126984126985,15.988015873015874,33.07222222222222,0.045934167,1.8595108,0.0333966603339666,0.2935026497350264,False
4098,SPL-s,"superior parietal lobule, left, superior bank of gyrus",6,6,-19.36111111111111,-59.29722222222222,65.16944444444444,0.045453206,-0.08956571,0.5355464453554645,0.902432484024325,False
4045,orIFG,"inferior frontal gyrus, orbital part, left",6,6,-43.35833333333333,38.84444444444444,-7.536111111111111,0.044691797,0.8025672,0.2062793720627937,0.6640064807078614,False
