structure_id,structure_acronym,structure_name,number_of_donors,total_sample_count,parkinsons_expression_score,random_mean_score,random_standard_deviation,enrichment_z_score,empirical_p_value,fdr_q_value,significant_fdr_0_05,regional_rank
4507,ZI,"zona incerta, left",6,10,0.77400917,0.88360274,0.056687556,-1.9332914,0.971002899710029,0.9922007799220078,False,1
4437,ILc,"caudal group of intralaminar nuclei, left",6,7,0.7228974,0.6775052,0.049101725,0.92445254,0.17818218178182182,0.6152328163410075,False,2
4518,Sb,"subthalamic nucleus, left",6,11,0.6913254,0.72338897,0.056189824,-0.570629,0.7216278372162783,0.9922007799220078,False,3
9178,SOC,"superior olivary complex, left",5,12,0.55795777,0.5980099,0.05825779,-0.68749803,0.7550244975502449,0.9922007799220078,False,4
9543,Cu,"cuneate nucleus, left",6,16,0.5079094,0.5734693,0.06999591,-0.9366242,0.8282171782821718,0.9922007799220078,False,5
4506,R,"reticular nucleus of thalamus, left",6,15,0.49288937,0.61869925,0.06689326,-1.8807558,0.9691030896910309,0.9922007799220078,False,6
9698,8Ve,"vestibular nuclei, left",6,18,0.48700082,0.5290547,0.051943924,-0.8096015,0.7937206279372063,0.9922007799220078,False,7
9589,CMRt,"central medullary reticular group, left",4,9,0.48538342,0.59887147,0.050098564,-2.2652955,0.9888011198880112,0.9922007799220078,False,8
9525,CGS,central glial substance,4,9,0.46273527,0.5663955,0.1306893,-0.79318094,0.781921807819218,0.9922007799220078,False,9
4417,DTLv,"lateral group of nuclei, left, ventral division",6,20,0.44032392,0.41421217,0.050306983,0.5190483,0.3030696930306969,0.7025107615820697,False,10
9075,SNR,"substantia nigra, pars reticulata, left",6,16,0.4211469,0.48598182,0.0684959,-0.94655186,0.8297170282971703,0.9922007799220078,False,11
4322,Cl,"claustrum, left",6,33,0.41397446,0.35060272,0.04290643,1.4769756,0.06879312068793121,0.3649468386494684,False,12
4295,GPe,"globus pallidus, external segment, left",5,15,0.4049554,0.583734,0.07325637,-2.440451,0.9922007799220078,0.9922007799220078,False,13
9598,GiRt,"gigantocellular group, left",6,19,0.3949629,0.4374376,0.04876701,-0.8709717,0.8048195180481952,0.9922007799220078,False,14
9054,RN,"red nucleus, left",6,11,0.3887707,0.43009678,0.057787962,-0.71513295,0.7624237576242375,0.9922007799220078,False,15
4296,GPi,"globus pallidus, internal segment, left",6,11,0.33259723,0.50925547,0.075317115,-2.345526,0.9908009199080092,0.9922007799220078,False,16
4257,CA4,"CA4 field, left",6,20,0.2886205,0.12014547,0.06524891,2.582036,0.0059994000599940004,0.23787621237876214,False,17
4440,LGd,"dorsal lateral geniculate nucleus, left",6,13,0.26594427,0.13445143,0.057271633,2.2959507,0.011498850114988501,0.23787621237876214,False,18
9207,Pr5,"principal sensory nucleus of trigeminal nerve, left",4,6,0.26349247,0.24078491,0.052989513,0.42852917,0.3304669533046695,0.7114759112324062,False,19
9561,IO,"inferior olivary complex, left",6,21,0.26178274,0.19141111,0.06700605,1.050228,0.14658534146585342,0.5733426657334266,False,20
9137,6,"abducens nucleus, left",5,7,0.25349003,0.2754879,0.06411694,-0.34308982,0.6375362463753624,0.9894968130305611,False,21
4313,BST,"bed  nucleus of stria terminalis, left",4,5,0.24107356,0.19957146,0.0554069,0.74904215,0.22577742225777422,0.6740809789988743,False,22
9206,Mo5,"motor nucleus of trigeminal nerve, left",5,8,0.24071059,0.23713802,0.070151016,0.050926823,0.48125187481251874,0.8719712187197123,False,23
9677,Sp5,"spinal trigeminal nucleus, left",6,35,0.2388567,0.2341857,0.050798338,0.091951974,0.45825417458254175,0.8386051394860513,False,24
9614,LMRt,"lateral medullary reticular group, left",6,13,0.23191805,0.23600544,0.061882522,-0.066050775,0.5222477752224778,0.9016164421293721,False,25
9074,SNC,"substantia nigra, pars compacta, left",6,21,0.22623326,0.11923931,0.06238437,1.7150762,0.04229577042295771,0.297697153361587,False,26
9529,8Co,"cochlear nuclei, left",5,7,0.18995838,0.16096906,0.05671333,0.5111552,0.3020697930206979,0.7025107615820697,False,27
4782,Dt,"dentate nucleus, left",6,13,0.18522592,0.1657945,0.06497831,0.2990446,0.37736226377362264,0.7416598765655349,False,28
4409,DTLd,"lateral group of nuclei, left, dorsal division",6,13,0.18183236,0.09512587,0.04917169,1.7633417,0.0400959904009599,0.29350264973502643,False,29
4444,MG,"medial geniculate complex, left",5,9,0.17259684,0.07520549,0.052793715,1.8447528,0.033996600339966,0.29350264973502643,False,30
9143,7,"facial motor nucleus, left",5,11,0.17065579,0.20174865,0.07202341,-0.43170503,0.6699330066993301,0.9922007799220078,False,31
13008,LHT,"lateral hypothalamic area, tuberal region, left",4,4,0.16969793,0.13385154,0.048269898,0.742624,0.2283771622837716,0.6740809789988743,False,32
9558,12,"hypoglossal nucleus, left",4,9,0.16785596,0.16632073,0.0713278,0.021523682,0.48795120487951205,0.8754418675779482,False,33
