gene_symbol,probe_id,probe_name,overall_detection_rate,donors_with_detection_rate_at_least_0_5
APOE,1059132,A_23_P164650,0.9994597514856834,6
ARHGEF2,1019068,A_23_P51699,0.9343598055105349,6
ASH1L,1041472,A_24_P367666,0.9991896272285251,6
ASNS,1026103,A_23_P145694,0.9994597514856834,6
ASXL3,1016305,A_23_P381746,0.8806050783360346,6
BAG3,1048474,A_23_P52552,0.9746083198271205,6
BBS9,1022575,A_23_P82351,0.9997298757428417,6
BCKDK,1011486,A_23_P3823,0.9991896272285251,6
BCL9,1058854,A_23_P382602,0.998109130199892,6
BIN3,1041427,A_23_P43086,0.9859535386277688,6
BRD3,1050010,A_24_P32887,0.9994597514856834,6
C5ORF24,1015240,A_24_P337504,1.0,6
CAB39L,1020073,A_23_P204879,0.9983792544570502,6
CAMK2D,1027101,A_24_P114739,1.0,6
CAPN13,1036609,A_23_P101972,0.9116693679092382,6
CARS2,1039201,A_23_P128624,0.9994597514856834,6
CC2D2A,1018275,A_23_P348383,0.8973527822798487,6
CCDC85A,1017604,A_23_P349566,0.9854132901134521,6
CCT3,1029523,A_23_P160631,0.9994597514856834,6
CD19,1058473,A_23_P113572,0.5337655321447866,4
CHRNB1,1058196,A_23_P207106,0.9081577525661805,6
CLCN3,1025184,A_24_P402847,0.9997298757428417,6
CNOT6L,1033007,A_23_P110304,0.9991896272285251,6
CNTN1,1058104,CUST_11199_PI416261804,0.9983792544570502,6
COMMD1,1034390,A_23_P389525,0.9991896272285251,6
CRLS1,1020322,A_23_P400435,0.9991896272285251,6
CTSB,1030215,A_24_P397928,0.9994597514856834,6
DCUN1D1,1042987,A_24_P166012,0.9975688816855753,6
DDRGK1,1039499,CUST_7515_PI416261804,0.998109130199892,6
DGKQ,1057741,A_23_P132932,0.9208535926526202,6
DIRC1,1036088,A_23_P131139,0.9994597514856834,6
DLG2,1015299,A_23_P124514,0.9972987574284171,6
DNASE1L1,1057593,A_23_P85164,0.9632631010264722,6
DNM1L,1026404,A_24_P743907,0.9989195029713668,6
DPP6,1021964,A_23_P170888,0.9994597514856834,6
DYRK1A,1026233,A_23_P211126,0.9970286331712588,6
ELOVL7,1014431,A_24_P32473,0.9781199351701783,6
