structure_id,structure_acronym,structure_name,number_of_donors,total_sample_count,number_of_genes
4288,Pu,"putamen, left",6,48,176
4023,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",6,43,176
4143,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",6,41,176
4024,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",6,40,176
4142,MTG-s,"middle temporal gyrus, left, superior bank of gyrus",6,36,176
4224,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",6,35,176
9492,Pn,"pontine nuclei, left",6,35,176
9677,Sp5,"spinal trigeminal nucleus, left",6,35,176
4322,Cl,"claustrum, left",6,33,176
4149,ITG-its,"inferior temporal gyrus, left, bank of the its",6,33,176
4030,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",6,33,176
4223,CgGf-s,"cingulate gyrus, frontal part, left, superior bank of gyrus",6,31,176
4151,ITG-mts,"inferior temporal gyrus, left, bank of mts",6,30,176
4031,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",6,30,176
4193,LiG-pest,"lingual gyrus, left, peristriate",6,29,176
4136,STG-i,"superior temporal gyrus, left, inferior bank of gyrus",6,28,176
4135,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",6,27,176
4244,PHG-l,"parahippocampal gyrus, left, lateral bank of gyrus",6,26,176
4282,BCd,"body of caudate nucleus, left",6,25,176
4194,LiG-str,"lingual gyrus, left, striate",6,25,176
4251,S,"subiculum, left",6,25,176
4254,CA1,"CA1 field, left",6,24,176
4150,ITG-l,"inferior temporal gyrus, left, lateral bank of gyrus",6,24,176
4099,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",6,23,176
4280,HCd,"head of caudate nucleus, left",6,22,176
4121,Pcu-i,"precuneus, left, inferior lateral bank of gyrus",6,22,176
4256,CA3,"CA3 field, left",6,21,176
4258,DG,"dentate gyrus, left",6,21,176
9561,IO,"inferior olivary complex, left",6,21,176
4051,MOrG,"medial orbital gyrus, left",6,21,176
4088,PoG-sl,"postcentral gyrus, left, superior lateral aspect of gyrus",6,21,176
9074,SNC,"substantia nigra, pars compacta, left",6,21,176
4257,CA4,"CA4 field, left",6,20,176
4158,FuG-its,"fusiform gyrus, left, bank of the its",6,20,176
4048,GRe,"gyrus rectus, left",6,20,176
4417,DTLv,"lateral group of nuclei, left, ventral division",6,20,176
4245,PHG-cos,"parahippocampal gyrus, left, bank of the cos",6,20,176
4120,Pcu-s,"precuneus, left, superior lateral bank of gyrus",6,20,176
4255,CA2,"CA2 field, left",6,19,176
4739,He-Crus I,"Crus I, left, lateral hemisphere",6,19,176
4395,DTA,"anterior group of nuclei, left",6,19,176
4186,Cun-pest,"cuneus, left, peristriate",6,19,176
4160,FuG-cos,"fusiform gyrus, left, bank of cos",6,19,176
9598,GiRt,"gigantocellular group, left",6,19,176
4013,PrG-sl,"precentral gyrus, left, superior lateral aspect of gyrus",6,19,176
4098,SPL-s,"superior parietal lobule, left, superior bank of gyrus",6,19,176
4114,AnG-i,"angular gyrus, left, inferior bank of gyrus",6,18,176
9520,Arc,"arcuate nucleus of medulla, left",6,18,176
4230,CgGp-s,"cingulate gyrus, parietal part, left, superior bank of gyrus",6,18,176
4045,orIFG,"inferior frontal gyrus, orbital part, left",6,18,176
4400,DTM,"medial group of nuclei, left",6,18,176
4178,PLP,"planum polare, left",6,18,176
4087,PoG-cs,"postcentral gyrus, left, bank of the central sulcus",6,18,176
4014,PrG-il,"precentral gyrus, left, inferior lateral aspect of gyrus",6,18,176
9698,8Ve,"vestibular nuclei, left",6,18,176
4740,He-Crus II,"Crus II, left, lateral hemisphere",6,17,176
4113,AnG-s,"angular gyrus, left, superior bank of gyrus",6,17,176
4270,LIG,"long insular gyri, left",6,17,176
4200,OTG-s,"occipito-temporal gyrus, left, superior bank of gyrus",6,17,176
4107,SMG-i,"supramarginal gyrus, left, inferior bank of gyrus",6,17,176
9543,Cu,"cuneate nucleus, left",6,16,176
4187,Cun-str,"cuneus, left, striate",6,16,176
9161,PRF,"pontine reticular formation, left",6,16,176
9642,RaM,raphe nuclei of medulla,6,16,176
4273,SIG,"short insular gyri, left",6,16,176
9075,SNR,"substantia nigra, pars reticulata, left",6,16,176
4106,SMG-s,"supramarginal gyrus, left, superior bank of gyrus",6,16,176
4738,He-VI,"VI, left, lateral hemisphere",6,15,176
4741,He-VIIB,"VIIB, left, lateral hemisphere",6,15,176
4039,trIFG,"inferior frontal gyrus, triangular part, left",6,15,176
4060,LOrG,"lateral orbital gyrus, left",6,15,176
4506,R,"reticular nucleus of thalamus, left",6,15,176
4432,ILr,"rostral group of intralaminar nuclei, left",6,15,176
4281,TCd,"tail of caudate nucleus, left",6,15,176
4201,OTG-i,"occipito-temporal gyrus, left, inferior bank of gyrus",6,14,176
9222,cc,corpus callosum,6,13,176
4782,Dt,"dentate nucleus, left",6,13,176
4440,LGd,"dorsal lateral geniculate nucleus, left",6,13,176
4079,fro,"frontal operculum, left",6,13,176
4409,DTLd,"lateral group of nuclei, left, dorsal division",6,13,176
9614,LMRt,"lateral medullary reticular group, left",6,13,176
4291,Acb,"nucleus accumbens, left",6,13,176
4214,SOG-s,"superior occipital gyrus, left, superior bank of gyrus",6,13,176
9067,VTA,"ventral tegmental area, left",6,13,176
4074,PCLa-i,"paracentral lobule, anterior part, left, inferior bank of gyrus",6,12,176
4723,PV-Crus I,"Crus I, left, paravermis",6,11,176
4166,HG,"Heschl's gyrus, left",6,11,176
4720,PV-V,"V, left, paravermis",6,11,176
4722,PV-VI,"VI, left, paravermis",6,11,176
4725,PV-VIIB,"VIIB, left, paravermis",6,11,176
