structure_id,structure_acronym,structure_name,number_of_donors,total_sample_count,parkinsons_expression_score,random_mean_score,random_standard_deviation,enrichment_z_score,empirical_p_value,fdr_q_value,significant_fdr_0_05,regional_rank,sensitivity_fdr_q_all_six,sensitivity_fdr_q_all_six_significant_0_05
4251,S,"subiculum, left",6,25,-0.071058206,-0.19703914,0.041187067,3.0587502,0.0007999200079992,0.1463853614638536,False,113,0.083991600839916,False
4257,CA4,"CA4 field, left",6,20,0.2886205,0.12014547,0.06524891,2.582036,0.005999400059994,0.2378762123787621,False,17,0.15013498650134985,False
4273,SIG,"short insular gyri, left",6,16,0.07501522,0.0029720142,0.029396294,2.450758,0.0072992700729927,0.2378762123787621,False,47,0.15013498650134985,False
4254,CA1,"CA1 field, left",6,24,-0.1010271,-0.25317007,0.063124135,2.4102187,0.0074992500749925,0.2378762123787621,False,127,0.15013498650134985,False
4379,LA,"lateral nucleus, left",6,11,0.1488319,0.04762634,0.043604024,2.3210144,0.0113988601139886,0.2378762123787621,False,34,0.15013498650134985,False
4440,LGd,"dorsal lateral geniculate nucleus, left",6,13,0.26594427,0.13445143,0.057271633,2.2959507,0.0114988501149885,0.2378762123787621,False,18,0.15013498650134985,False
4255,CA2,"CA2 field, left",6,19,-0.21117115,-0.3847813,0.07579011,2.2906704,0.0123987601239876,0.2378762123787621,False,145,0.15013498650134985,False
4245,PHG-cos,"parahippocampal gyrus, left, bank of the cos",6,20,-0.040387183,-0.10466231,0.028762473,2.2346869,0.0122987701229877,0.2378762123787621,False,99,0.15013498650134985,False
4329,ATZ,"amygdalohippocampal transition zone, left",6,7,-0.17602436,-0.29575613,0.053880427,2.2221756,0.0142985701429857,0.2378762123787621,False,138,0.15013498650134985,False
4160,FuG-cos,"fusiform gyrus, left, bank of cos",6,19,0.100490496,0.032479357,0.030981917,2.195188,0.0131986801319868,0.2378762123787621,False,42,0.15013498650134985,False
4367,COMA,"cortico-medial group, left",6,9,-0.13300708,-0.24517347,0.05308966,2.1127727,0.0175982401759824,0.2666304798091619,False,129,0.16475275549368137,False
